"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
3.16,23.30682080799017,71.39788735773017,23.30682080799017,-0.08098292839768402
3.18,23.147768339534306,70.89788735773595,23.147768339534306,-0.08114830357125087
3.2,22.98840157878837,70.397887357732,22.98840157878837,-0.08130340707086597
3.22,22.828740105658188,69.89788735772704,22.828740105658188,-0.08144881801336121
3.24,22.66880239331539,69.39788735772721,22.66880239331539,-0.08158508570098032
3.26,22.50860586525483,68.8978873577302,22.50860586525483,-0.08171273107477943
3.28,22.348166949574694,68.39788735773152,22.348166949574694,-0.0818322480936202
3.3,22.187501130620188,67.89788735773031,22.187501130620188,-0.08194410504353512
3.32,22.026622998122836,67.39788735772895,22.026622998122836,-0.08204874578178291
3.34,21.865546293959703,66.89788735772902,21.865546293959703,-0.08214659091948633
3.36,21.704283956649643,66.39788735772993,21.704283956649643,-0.08223803894639949
3.38,21.542848163696767,65.89788735773028,21.542848163696767,-0.08232346730114781
3.4,21.381250371849422,65.39788735772987,21.381250371849422,-0.08240323338854678
3.42,21.219501355564006,64.89788735772945,21.219501355564006,-0.0824776755550982
3.44,21.057611243354014,64.39788735772956,21.057611243354014,-0.08254711400770838
3.46,20.895589552556288,63.897887357729864,20.895589552556288,-0.08261185169700798
3.48,20.733445222357457,63.3978873577299,20.733445222357457,-0.08267217515737067
3.5,20.57118664521054,62.89788735772974,20.57118664521054,-0.08272835530797346
3.52,20.408821696716387,62.39788735772966,20.408821696716387,-0.08278064821690866
3.54,20.24635776404071,61.8978873577297,20.24635776404071,-0.0828292958302002
3.56,20.0838017729338,61.39788735772978,20.0838017729338,-0.0828745266674542
3.58,19.921160213416766,60.89788735772978,19.921160213416766,-0.08291655648576944
3.6,19.75843916419506,60.397887357729736,19.75843916419506,-0.08295558891343813
3.62,19.595644315810816,59.8978873577297,19.595644315810816,-0.08299181605269994
3.64,19.432780991743876,59.39788735772972,19.432780991743876,-0.08302541901287465
3.66,19.26985417049525,58.89788735772967,19.26985417049525,-0.08305656851450967
3.68,19.106868506363732,58.39788735772969,19.106868506363732,-0.08308542545923167
3.7,18.943828350898162,57.89788735772974,18.943828350898162,-0.08311214155952756
3.72,18.780737758670423,57.397887357729786,18.780737758670423,-0.08313685923390611
3.74,18.617600520493635,56.89788735772977,18.617600520493635,-0.08315971284647869
3.76,18.454420167104573,56.39788735772975,18.454420167104573,-0.0831808285432841
3.78,18.291199994345906,55.89788735772973,18.291199994345906,-0.0832003251562178
3.8,18.127943064487827,55.3978873577297,18.127943064487827,-0.08321831394782908
3.82,17.964652235051595,54.89788735772971,17.964652235051595,-0.08323489974468674
3.84,17.801330158870055,54.39788735772973,17.801330158870055,-0.08325018065083767
3.86,17.63797930725672,53.897887357729736,17.63797930725672,-0.08326424894565876
3.88,17.47460197114572,53.39788735772976,17.47460197114572,-0.08327719087563171
3.9,17.311200282385,52.89788735772974,17.311200282385,-0.0832890875009524
3.92,17.147776214807948,52.39788735772973,17.147776214807948,-0.08330001450890916
3.94,16.984331602262646,51.89788735772973,16.984331602262646,-0.08331004293128773
3.96,16.82086814039319,51.39788735772972,16.82086814039319,-0.0833192390176786
3.98,16.657387402081735,50.89788735772973,16.657387402081735,-0.08332766485273384
4,16.49389084001252,50.397887357729736,16.49389084001252,-0.08333537829407356
4.02,16.330379799115978,49.89788735772975,16.330379799115978,-0.08334243346077783
4.04,16.166855520166635,49.397887357729736,16.166855520166635,-0.08334888074968251
4.06,16.003319149599047,48.89788735772974,16.003319149599047,-0.08335476720862281
4.08,15.839771743995223,48.39788735772973,15.839771743995223,-0.08336013662424556
4.1,15.676214277381115,47.897887357729736,15.676214277381115,-0.08336502977940399
4.12,15.51264764660484,47.39788735772973,15.51264764660484,-0.08336948461334867
4.14,15.349072676365102,46.89788735772974,15.349072676365102,-0.08337353637113881
4.16,15.185490125417585,46.39788735772974,15.185490125417585,-0.08337721783371449
4.18,15.021900689479898,45.89788735772975,15.021900689479898,-0.0833805593614492
4.2,14.85830500826161,45.397887357729736,14.85830500826161,-0.08338358919498601
4.22,14.69470366643633,44.89788735772974,14.69470366643633,-0.0833863333982134
4.24,14.531097201382437,44.39788735772972,14.531097201382437,-0.08338881622430004
4.26,14.367486102617356,43.897887357729736,14.367486102617356,-0.08339105997674642
4.28,14.203870819693432,43.39788735772973,14.203870819693432,-0.08339308540684673
4.3,14.040251760975794,42.89788735772974,14.040251760975794,-0.08339491154362999
4.32,13.876629300888442,42.397887357729736,13.876629300888442,-0.08339655607110794
4.34,13.713003778721376,41.89788735772975,13.713003778721376,-0.08339803516841775
